Product name,Price (RON),Contents
Aranjament floral in cutie cu flori colorate,299,"{'Greentick': 4, 'Trandafir': 7, 'Lalea': 5, 'Lisianthus': 2, 'Crizantema': 2, 'Cupe': 2}"
Cutie cu orhidee vanda si veronica,259,"{'Cupe': 8, 'Veronica': 5, 'Hypericum': 5}"
"Cutie natur cu anemone, narcise, frezii si chamelaucium",159,"{'Narcisa': 4, 'Anemone': 3, 'Frezia': 2, 'Chamelaucium': 2}"
"Aranjament floral cu trandafiri, eryngium, frezia si lisiantus",169,"{'Trandafir': 3, 'Eryngium': 1, 'Frezia': 2, 'Lisianthus': 1, 'Chamelaucium': 1}"
"Cutie nud cu hortensie, matiola si minorose ",359,"{'Minirosa': 7, 'Mattiola': 7, 'Hortensie': 1}"
Aranjament floral in cutie cu flori speciale,499,"{'Trandafir': 4, 'Lisianthus': 5, 'Cupe': 4, 'Lalea': 8, 'Garoafa': 3, 'Chamelaucium': 3}"
"Aranjament floral cu trandafiri, orhidee, lisiantus si lalele ",299,"{'Trandafir': 6, 'Cupe': 2, 'Lalea': 4, 'Lisianthus': 2, 'Alstroemeria': 1}"
"Cutie cu hortensie, lisianthus, chamelaucium si craspedia",339,"{'Hortensie': 1, 'Lisianthus': 5, 'Chamelaucium': 3, 'Craspedia': 5, 'Clematis': 1}"
Cutie cu trandafiri rosii si hypericum verde,289,"{'Trandafir': 6, 'Hypericum': 5}"
"Cutie cu trandafiri, lisianthus, chrisantem si hypericum",225,"{'Trandafir': 3, 'Crizantema': 3, 'Lisianthus': 2, 'Hypericum': 5, 'Garoafa': 5}"
"Cutie cu crin, chrisantema, trandafiri si hypericum",259,"{'Crizantema': 4, 'Trandafir': 3, 'Crin': 1, 'Garoafa': 6, 'Hypericum': 3}"
"Cutie cu gerbera, trandafiri si lisianthus ",225,"{'Gerbera': 6, 'Trandafir': 6, 'Lisianthus': 2}"
Aranjament cu flori pastelate,215,"{'Trandafir': 5, 'Gerbera': 5, 'Lalea': 3, 'Eustoma': 3}"
"Cutie cu protea, bujori, trandafiri, lalele",455,"{'Protea': 1, 'Trandafir': 8, 'Bujor': 5, 'Berzelia': 6, 'Lalea': 9, 'Astilbe': 3}"
Cutie in forma de inima cu 35 lalele si eucalipt,379,{'Lalea': 35}
Cutie cu hortensie trandafiri si phalaenopsis,319,"{'Hortensie': 1, 'Trandafir': 9, 'Alstroemeria': 2, 'Cupe': 2}"
Cutie cu flori exotice,269,"{'Hortensie': 1, 'Cupe': 4, 'Trandafir': 3, 'Alstroemeria': 2, 'Lisianthus': 1}"
"Aranjament cu phalaenopsis, trandafiri, hortensie, alstroemeria",359,"{'Tija': 1, 'Hortensie': 1, 'Trandafir': 8, 'Alstroemeria': 3, 'Lisianthus': 1, 'Scabiosa': 5}"
"Cutie cu cymbidium, lisianthus, trandafiri",225,"{'Trandafir': 6, 'Cymbidium': 2, 'Lisianthus': 1, 'Mattiola': 1, 'Minirosa': 1, 'Viburnum': 1}"
Cutie cu flori pastelate,399,"{'Trandafir': 9, 'Hortensie': 1, 'Cupe': 4, 'Minirosa': 2, 'Lisianthus': 2, 'Viburnum': 1, 'Alstroemeria': 2}"
"Aranjament cu hortensie, eustoma, chamelaucium",189,"{'Lisianthus': 2, 'Chamelaucium': 1, 'Trandafir': 1}"
