Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10180,Moment alb,476.28,529.2,"{'Trandafir': 9, 'Alstroemeria': 10}",151.0,-325.0,-0.6823717141177459
10155,Amaryllis roz,304.2,304.2,{'Amaryllis': 5},111.0,-193.0,-0.6344510190664037
10272,Gerbera mix,331.2,331.2,{'Gerbera': 19},125.0,-206.0,-0.6219806763285024
10157,Buchet Valentine,859.0,859.0,{'Trandafir': 39},401.0,-458.0,-0.5331781140861467
1081,Anthurium alb,430.2,430.2,{'Anthurium': 11},143.0,-287.0,-0.6671315667131567
10311,Mix cotidian,682.2,682.2,"{'Trandafir': 12, 'Iris': 19, 'Garoafa': 10}",237.0,-445.0,-0.6523013778950454
1034,Irisi mix,493.2,493.2,{'Iris': 39},167.0,-326.0,-0.6609894566098946
1078,Anthurium si garoafe,439.2,439.2,"{'Anthurium': 7, 'Garoafa': 10}",125.0,-314.0,-0.714936247723133
1063,Gladiole natale,233.28,259.2,{'Gladiole': 15},71.0,-162.0,-0.6944444444444444
10262,Ascendent cromatic,575.1,639.0,"{'Trandafir': 16, 'Crizantema': 5}",211.0,-364.0,-0.6329334028864545
10202,Buchet trandafiri galbeni,529.2,529.2,{'Trandafir': 27},281.0,-248.0,-0.4686318972033257
10156,Amaryllis albe,304.2,304.2,{'Amaryllis': 5},111.0,-193.0,-0.6344510190664037
10193,Un semn bun,565.2,565.2,{'Trandafir': 29},301.0,-264.0,-0.4670912951167728
1088,Cale mov deluxe,691.2,691.2,{'Cale': 19},239.0,-452.0,-0.6539351851851851
10309,Buchet distins,430.2,430.2,"{'Trandafir': 7, 'Gerbera': 7, 'Crizantema': 3}",147.0,-283.0,-0.6578335657833566
10204,Dorinte aprinse,403.2,403.2,{'Gerbera': 21},137.0,-266.0,-0.6597222222222222
10142,Placere discreta,403.2,403.2,{'Gerbera': 25},161.0,-242.0,-0.6001984126984127
10266,Buchet 29 trandafiri,583.2,583.2,{'Trandafir': 29},301.0,-282.0,-0.4835390946502057
10182,Moment galben,476.28,529.2,"{'Trandafir': 9, 'Alstroemeria': 10}",151.0,-325.0,-0.6823717141177459
10136,Buchetul indragostitilor,299.0,299.0,{'Trandafir': 13},141.0,-158.0,-0.5284280936454849
10199,Impact cromatic,475.2,475.2,"{'Trandafir': 10, 'Garoafa': 15, 'Crizantema': 4}",188.0,-287.0,-0.603956228956229
1080,Anthurium mov,439.2,439.2,{'Anthurium': 11},143.0,-296.0,-0.6739526411657559
10333,Aranjament de Paste,259.0,259.0,"{'Lalea': 10, 'Crizantema': 5}",101.0,-158.0,-0.61003861003861
1013,Anthurium red,268.2,268.2,{'Anthurium': 5},71.0,-197.0,-0.7345264727815064
10130,Gladiole portocalii,250.56,313.2,{'Gladiole': 19},87.0,-164.0,-0.6545338441890166
106,Primul pas,313.2,313.2,"{'Crin': 1, 'Trandafir': 6}",91.0,-222.0,-0.7088122605363985
10243,75 Trandafiri albi,1312.2,1312.2,{'Trandafir': 75},761.0,-551.0,-0.4199055022100289
10203,Buchet trandafiri bicolor,547.2,547.2,{'Trandafir': 27},281.0,-266.0,-0.48611111111111105
10190,Explozie de culori,475.2,475.2,"{'Gerbera': 19, 'Santini': 4}",149.0,-326.0,-0.6860269360269361
10117,Crizanteme mix,331.2,331.2,{'Crizantema': 17},147.0,-184.0,-0.5555555555555556
10270,Crini si lisianthus,529.2,529.2,"{'Crin': 5, 'Lisianthus': 10}",191.0,-338.0,-0.6386999244142101
10324,Inima rosa dragobete,749.0,749.0,{'Trandafir': 27},281.0,-468.0,-0.6248331108144193
